X,Y,施設名,施設名かな,施設名（施設名かな）,所在地,地区名,TEL,FAX,詳細情報,開館時間,URL,バリアフリー情報,駐輪場 PC,駐輪場 携,大分類,小分類,カテゴリ,アイコン番号,施設ID
135.497992,34.72594203,淀川年金事務所,よどがわねんきんじむしょ,淀川年金事務所（よどがわねんきんじむしょ）,淀川区西中島4-1-1日清食品ビル2・3階,淀川区,06-6305-1881,06-6305-4838,,,http://www.nenkin.go.jp/n/www/section/detail.jsp?id=529&part_id=248,,,,官公庁,国の機関,官公庁/国の機関,104,2473
135.4968777,34.67299803,大阪西労働基準監督署,おおさかにしろうどうきじゅんかんとくしょ,大阪西労働基準監督署（おおさかにしろうどうきじゅんかんとくしょ）,西区北堀江1-2-19,西区,06-6531-0801,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,4799
135.4382107,34.61649383,軽自動車検査協会大阪主管事務所,けいじどうしゃけんさきょうかいおおさかしゅかんじむしょ,軽自動車検査協会大阪主管事務所（けいじどうしゃけんさきょうかいおおさかしゅかんじむしょ）,住之江区南港東3-4-62,住之江区,06-6612-1565,,　（軽自動車の登録・廃止等）,,,http://www.osaka-bfmap.jp/sisetu_data/data/201441.php?bunrui=1&name=20.php,,,官公庁,国の機関,官公庁/国の機関,104,158
135.4421918,34.61904397,大阪陸運支局なにわ自動車検査登録事務所,おおさかりくうんしきょくなにわじどうしゃけんさとうろくじむしょ,大阪陸運支局なにわ自動車検査登録事務所（おおさかりくうんしきょくなにわじどうしゃけんさとうろくじむしょ）,住之江区南港東3-1-14,住之江区,050-5540-2059,,　（普通自動車関係）,,,,,,官公庁,国の機関,官公庁/国の機関,104,157
135.4913887,34.61096411,住吉税務署,すみよしぜいむしょ,住吉税務署（すみよしぜいむしょ）,住吉区住吉2丁目17番37号,住吉区,06-6672-1321,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/sumiyoshi/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,381
135.4779921,34.62319189,玉出年金事務所,たまでねんきんじむしょ,玉出年金事務所（たまでねんきんじむしょ）,住之江区北加賀屋2-3-6,住之江区,06-6682-3311,,　（厚生年金・国民年金・社会保険）,,,,,,官公庁,国の機関,官公庁/国の機関,135,706
135.4924,34.62376406,大阪南労働基準監督署,おおさかみなみろうどうきじゅんかんとくしょ,大阪南労働基準監督署（おおさかみなみろうどうきじゅんかんとくしょ）,西成区玉出中2丁目13番27号,西成区,06-6653-5050,,,,,,,,官公庁,国の機関,官公庁/国の機関,122,4837
135.436236,34.63515803,大阪税関南港出張所,おおさかぜいかんなんこうしゅっちょうしょ,大阪税関南港出張所（おおさかぜいかんなんこうしゅっちょうしょ）,住之江区南港東7-1-41,住之江区,06-6614-5345,,　（輸出入貨物の通関手続き相談）,,,,,,官公庁,国の機関,官公庁/国の機関,106,660
135.4304971,34.65339389,大阪海上保安監部,おおさかかいじょうほあんかんぶ,大阪海上保安監部（おおさかかいじょうほあんかんぶ）,港区築港4-10-3,港区,06-6571-0221,,,,http://www.kaiho.mlit.go.jp/05kanku/osaka/,,,,官公庁,国の機関,官公庁/国の機関,104,2041
135.4343078,34.65214392,大阪港労働公共職業安定所,おおさかみなとろうどうこうきょうしょくぎょうあんていじょ,大阪港労働公共職業安定所（おおさかみなとろうどうこうきょうしょくぎょうあんていじょ）,港区築港1-12-18,港区,06-6572-5191,,,,,,,,官公庁,国の機関,官公庁/国の機関,111,2025
135.4305247,34.65329414,大阪検疫所,おおさかけんえきじょ,大阪検疫所（おおさかけんえきじょ）,港区築港4-10-3,港区,06-6571-3521,,,,http://www.forth.go.jp/keneki/osaka/index.html,,,,官公庁,国の機関,官公庁/国の機関,104,2042
135.4305779,34.65320286,大阪税関,おおさかぜいかん,大阪税関（おおさかぜいかん）,港区築港4-10-3,港区,06-6576-3010,,,,,,,,官公庁,国の機関,官公庁/国の機関,106,2043
135.4930529,34.63348908,西成税務署,にしなりぜいむしょ,西成税務署（にしなりぜいむしょ）,西成区千本中1丁目3番4号,西成区,06-6659-5131,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/nishinari/,,,,官公庁,国の機関,官公庁/国の機関,106,4851
135.5194721,34.63927189,阿倍野税務署,あべのぜいむしょ,阿倍野税務署（あべのぜいむしょ）,阿倍野区三明町2-10-29,阿倍野区,06-6628-0221,,(国税全般),,http://www.osaka.nta.go.jp/guidance/osaka/11.html,,,,官公庁,国の機関,官公庁/国の機関,106,1202
135.4992223,34.65881914,難波年金事務所,なんばねんきんじむしょ,難波年金事務所（なんばねんきんじむしょ）,浪速区敷津東1-6-16,浪速区,06-6633-1231,,,,http://www.sia.go.jp/sodan/madoguchi/shaho/osaka/index.htm,http://www.osaka-bfmap.jp/sisetu_data/data/101423.php?bunrui=1&name=10.php,,,官公庁,国の機関,官公庁/国の機関,135,2656
135.4997309,34.66004389,浪速税務署,なにわぜいむしょ,浪速税務署（なにわぜいむしょ）,浪速区難波中3-13-9,浪速区,06-6632-1131,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/naniwa/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,2630
135.5161998,34.64849703,天王寺年金事務所,てんのうじねんきんじむしょ,天王寺年金事務所（てんのうじねんきんじむしょ）,天王寺区悲田院町7-6,天王寺区,06-6772-7531,,,,,,,,官公庁,国の機関,官公庁/国の機関,135,4338
135.5149331,34.66099706,法務局天王寺出張所,ほうむきょくてんのうじしゅっちょうしょ,法務局天王寺出張所（ほうむきょくてんのうじしゅっちょうしょ）,天王寺区六万体町1-27,天王寺区,06-6772-2535,,土地・建物の登記,,,,,,官公庁,国の機関,官公庁/国の機関,105,4351
135.5253578,34.65964192,天王寺税務署,てんのうじぜいむしょ,天王寺税務署（てんのうじぜいむしょ）,天王寺区堂ヶ芝2-11-25,天王寺区,06-6772-1281,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/tennoji/index.htm,,,,官公庁,国の機関,官公庁/国の機関,106,4332
135.5468891,34.61075306,日本年金機構平野年金事務所,にほんねんきんきこうひらのねんきんじむしょ,日本年金機構平野年金事務所（にほんねんきんきこうひらのねんきんじむしょ）,平野区喜連西6-2-78,平野区,06-6705-0331,,,,,,,,官公庁,国の機関,官公庁/国の機関,104,2282
135.5423663,34.61842853,東住吉税務署,ひがしすみよしぜいむしょ,東住吉税務署（ひがしすみよしぜいむしょ）,平野区平野西2-2-2,平野区,06-6702-0001,,,,http://www.nta.go.jp/osaka/guide/zeimusho/osaka/higashisumiyoshi/data.htm,,,,官公庁,国の機関,官公庁/国の機関,106,2326
135.5334919,34.62563611,大阪法務局東住吉出張所,おおさかほうむきょくひがしすみよししゅっちょうしょ,大阪法務局東住吉出張所（おおさかほうむきょくひがしすみよししゅっちょうしょ）,東住吉区西今川3-21-17,東住吉区,06-6705-2212,,,,http://houmukyoku.moj.go.jp/osaka/frame.html,http://www.osaka-bfmap.jp/sisetu_data/data/221433.php?bunrui=1&name=22.php,,,官公庁,国の機関,官公庁/国の機関,105,3097
